"","정류장","1004-1","1004","1005-1","1005","203-1","203","204-1","204","222-1","222","52","53","601-1","601","summ/stop"
"55","범지기마을6,11단지",11578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11578
"56","범지기마을8,12단지",NA,3518,NA,NA,NA,NA,NA,NA,6227,NA,NA,NA,NA,NA,4872.5
"57","보람동(해들마을)",NA,NA,NA,NA,NA,NA,NA,NA,1985,NA,NA,NA,1772,NA,1878.5
"58","보람동(호려울마을)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3652,NA,NA,NA,2582,3117
"59","보통2리",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3229,2314,2771.5
"60","봉안리",3391,278,NA,NA,NA,NA,NA,NA,NA,NA,3502,141,NA,NA,1828
"61","봉안리(다름고개)",531,81,NA,NA,NA,NA,NA,NA,NA,NA,631,17,NA,NA,315
"62","봉안리(부일가든)",190,63,NA,NA,NA,NA,NA,NA,NA,NA,428,33,NA,NA,178.5
"63","봉암리",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5366,3190,4278
"64","산학리",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,110,NA,NA,75
"65","산학리(주니어전문스쿨)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,31,NA,NA,20
"66","새뜸마을1,2단지",NA,NA,2465,473,NA,NA,1781,2609,NA,NA,NA,NA,NA,NA,1832
"67","새뜸마을10단지",NA,NA,NA,NA,NA,342,NA,NA,NA,NA,NA,326,NA,NA,334
"68","새뜸마을14단지",NA,NA,NA,NA,1704,482,NA,NA,NA,NA,692,710,NA,NA,897
"69","새뜸마을3,4단지",NA,NA,NA,NA,NA,NA,1804,4522,NA,NA,NA,NA,NA,NA,3163
"70","새뜸마을4단지(가온마을1단지)",NA,NA,4996,729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2862.5
"71","새뜸마을5,6단지",NA,NA,NA,NA,NA,NA,868,634,NA,NA,NA,NA,NA,NA,751
"72","새뜸마을5,8단지",4117,2877,NA,NA,NA,NA,1812,1828,3279,3084,391,634,NA,NA,2252.75
"73","새뜸마을7,10단지",4330,2470,NA,NA,NA,NA,548,NA,3715,NA,758,NA,NA,NA,2364.2
"74","새롬고등학교(새뜸마을7단지)",NA,NA,NA,NA,NA,NA,873,4183,NA,NA,NA,NA,NA,NA,2528
"75","새롬동.나성동",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8554,7557,8055.5
"76","새롬동.다정동",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6304,10987,8645.5
"77","새롬동커뮤니티센터",10180,9198,NA,NA,NA,NA,NA,NA,14490,9753,1431,1480,NA,NA,7755.33333333333
"78","새롬중학교(새뜸마을1단지)",NA,NA,2746,739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1742.5
"79","세종고속시외버스터미널",4733,6472,3778,4048,3474,2395,NA,NA,5745,7406,NA,NA,5899,5862,4981.2
"80","세종교통",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1157,615,886
"81","세종시청.교육청.시의회",NA,NA,NA,NA,NA,NA,NA,NA,5052,12306,NA,NA,4922,8575,7713.75
